,Trade Name,Generic/Proper Name(s),Active Ingredient(s),DICT _ Concern,Standardized_SMILES,Standardized_InChI,DICTrank,name,Cardiotoxicity,CT label
10,omnipaque,iohexol,iohexol,most,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,"InChI=1S/C19H26I3N3O9/c1-8(29)25(4-11(32)7-28)17-15(21)12(18(33)23-2-9(30)5-26)14(20)13(16(17)22)19(34)24-3-10(31)6-27/h9-11,26-28,30-32H,2-7H2,1H3,(H,23,33)(H,24,34)",1,iohexol,Mixed,bw
11,visipaque,iodixanol,iodixanol,most,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,"InChI=1S/C35H44I6N6O15/c1-13(52)46(30-26(38)20(32(59)42-3-15(54)9-48)24(36)21(27(30)39)33(60)43-4-16(55)10-49)7-19(58)8-47(14(2)53)31-28(40)22(34(61)44-5-17(56)11-50)25(37)23(29(31)41)35(62)45-6-18(57)12-51/h15-19,48-51,54-58H,3-12H2,1-2H3,(H,42,59)(H,43,60)(H,44,61)(H,45,62)",1,iodixanol,Mixed,bw
12,sertraline,sertraline,sertraline hydrochloride,most,C[NH2+]C1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,"InChI=1S/C17H17Cl2N/c1-20-17-9-7-12(13-4-2-3-5-14(13)17)11-6-8-15(18)16(19)10-11/h2-6,8,10,12,17,20H,7,9H2,1H3/p+1",1,sertraline,Arrhythmia,wp
13,ondansetron,ondansetron,ondansetron hydrochloride,most,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,"InChI=1S/C18H19N3O/c1-12-19-9-10-21(12)11-13-7-8-16-17(18(13)22)14-5-3-4-6-15(14)20(16)2/h3-6,9-10,13H,7-8,11H2,1-2H3",1,ondansetron,Arrhythmia,wp
14,praziquantel,praziquantel,praziquantel,most,O=C(C1CCCCC1)[NH+]1CC(=O)[NH+]2CCc3ccccc3C2C1,"InChI=1S/C19H24N2O2/c22-18-13-20(19(23)15-7-2-1-3-8-15)12-17-16-9-5-4-6-14(16)10-11-21(17)18/h4-6,9,15,17H,1-3,7-8,10-13H2/p+2",1,praziquantel,Arrhythmia,wp
15,cilostazol,cilostazol,cilostazol,most,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,"InChI=1S/C20H27N5O2/c26-20-12-9-15-14-17(10-11-18(15)21-20)27-13-5-4-8-19-22-23-24-25(19)16-6-2-1-3-7-16/h10-11,14,16H,1-9,12-13H2,(H,21,26)",1,cilostazol,Mixed,wp
16,thalomid,thalidomide,thalidomide,most,O=C1CCC([NH+]2C(=O)c3ccccc3C2=O)C(=O)N1,"InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)/p+1",1,thalidomide,Mixed,wp
17,estropipate,estropipate,estropipate,most,CC12CCC3c4ccc(OS(=O)(=O)[O-])cc4CCC3C1CCC2=O,"InChI=1S/C18H22O5S/c1-18-9-8-14-13-5-3-12(23-24(20,21)22)10-11(13)2-4-15(14)16(18)6-7-17(18)19/h3,5,10,14-16H,2,4,6-9H2,1H3,(H,20,21,22)/p-1",1,estropipate,Heart Damage,bw
18,kynmobi,apomorphine hydrochloride,apomorphine hydrochloride,most,C[NH+]1CCc2cccc3c2C1Cc1ccc([O-])c([O-])c1-3,"InChI=1S/C17H17NO2/c1-18-8-7-10-3-2-4-12-15(10)13(18)9-11-5-6-14(19)17(20)16(11)12/h2-6,13,19-20H,7-9H2,1H3/p-1",1,apomorphine hydrochloride,Mixed,wp
19,iclusig,ponatinib hydrochloride,ponatinib hydrochloride,most,Cc1ccc(C(=O)Nc2ccc(C[NH+]3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,"InChI=1S/C29H27F3N6O/c1-20-5-6-22(16-21(20)8-10-25-18-33-27-4-3-11-34-38(25)27)28(39)35-24-9-7-23(26(17-24)29(30,31)32)19-37-14-12-36(2)13-15-37/h3-7,9,11,16-18H,12-15,19H2,1-2H3,(H,35,39)/p+2",1,ponatinib hydrochloride,Mixed,bw
20,scemblix,asciminib,asciminib hydrochloride,most,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CCC(O)C2)c(-c2cc[n-]n2)c1,"InChI=1S/C20H18ClF2N5O3/c21-20(22,23)31-15-3-1-13(2-4-15)26-19(30)12-9-16(17-5-7-25-27-17)18(24-10-12)28-8-6-14(29)11-28/h1-5,7,9-10,14,29H,6,8,11H2,(H2,25,26,27,30)/p-1",1,asciminib,Mixed,wp
21,,terfenadine,terfenadine,most,CC(C)(C)c1ccc(C(O)CCC[NH+]2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,"InChI=1S/C32H41NO2/c1-31(2,3)26-18-16-25(17-19-26)30(34)15-10-22-33-23-20-29(21-24-33)32(35,27-11-6-4-7-12-27)28-13-8-5-9-14-28/h4-9,11-14,16-19,29-30,34-35H,10,15,20-24H2,1-3H3/p+1",1,terfenadine,Arrhythmia,Withdraw
22,granisetron hydrochloride,granisetron hydrochloride,granisetron hydrochloride,most,Cn1nc(C(=O)NC2CC3CCCC(C2)[NH+]3C)c2ccccc21,"InChI=1S/C18H24N4O/c1-21-13-6-5-7-14(21)11-12(10-13)19-18(23)17-15-8-3-4-9-16(15)22(2)20-17/h3-4,8-9,12-14H,5-7,10-11H2,1-2H3,(H,19,23)/p+1",1,granisetron hydrochloride,Arrhythmia,wp
23,wakix,pitolisant hydrochloride,pitolisant hydrochloride,most,Clc1ccc(CCCOCCC[NH+]2CCCCC2)cc1,"InChI=1S/C17H26ClNO/c18-17-9-7-16(8-10-17)6-4-14-20-15-5-13-19-11-2-1-3-12-19/h7-10H,1-6,11-15H2/p+1",1,pitolisant hydrochloride,Arrhythmia,wp
24,ziprasidone hydrochloride,ziprasidone hcl,ziprasidone hydrochloride,most,[O-]c1cc2cc(CC[NH+]3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2[n-]1,"InChI=1S/C21H20ClN4OS/c22-17-13-18-15(12-20(27)23-18)11-14(17)5-6-25-7-9-26(10-8-25)21-16-3-1-2-4-19(16)28-24-21/h1-4,11-13,27H,5-10H2/q-1",1,ziprasidone hcl,Mixed,wp
25,procainamide hydrochloride,procainamide hydrochloride,procainamide hydrochloride,most,CC[NH+](CC)CCNC(=O)c1ccc(N)cc1,"InChI=1S/C13H21N3O/c1-3-16(4-2)10-9-15-13(17)11-5-7-12(14)8-6-11/h5-8H,3-4,9-10,14H2,1-2H3,(H,15,17)/p+1",1,procainamide hydrochloride,Arrhythmia,bw
26,ibuprofen,ibuprofen,ibuprofen,most,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)/p-1",1,ibuprofen,Heart Damage,bw
27,,sibutramine,sibutramine,most,CC(C)CC([NH+](C)C)C1(c2ccc(Cl)cc2)CCC1,"InChI=1S/C17H26ClN/c1-13(2)12-16(19(3)4)17(10-5-11-17)14-6-8-15(18)9-7-14/h6-9,13,16H,5,10-12H2,1-4H3/p+1",1,sibutramine,Heart Damage,Withdraw
28,maraviroc,maraviroc,maraviroc,most,Cc1nnc(C(C)C)n1C1CC2CCC(C1)[NH+]2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1,"InChI=1S/C29H41F2N5O/c1-19(2)27-34-33-20(3)36(27)25-17-23-9-10-24(18-25)35(23)16-13-26(21-7-5-4-6-8-21)32-28(37)22-11-14-29(30,31)15-12-22/h4-8,19,22-26H,9-18H2,1-3H3,(H,32,37)/p+1",1,maraviroc,Heart Damage,wp
29,quinidine sulfate,quinidine sulfate tablet,quinidine sulfate,most,C=CC1C[NH+]2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,"InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/p+1",1,quinidine sulfate tablet,Arrhythmia,wp
30,propofol,propofol,propofol,most,CC(C)c1cccc(C(C)C)c1[O-],"InChI=1S/C12H18O/c1-8(2)10-6-5-7-11(9(3)4)12(10)13/h5-9,13H,1-4H3/p-1",1,propofol,Mixed,wp
31,maxaquin,lomefloxacin hydrochloride,lomefloxacin hydrochloride,most,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH2+]C(C)C3)c(F)c21,"InChI=1S/C17H19F2N3O3/c1-3-21-8-11(17(24)25)16(23)10-6-12(18)15(13(19)14(10)21)22-5-4-20-9(2)7-22/h6,8-9,20H,3-5,7H2,1-2H3,(H,24,25)",1,lomefloxacin hydrochloride,Arrhythmia,wp
32,dopram,doxapram hydrochloride,doxapram hydrochloride,most,CC[NH+]1CC(CC[NH+]2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,"InChI=1S/C24H30N2O2/c1-2-26-19-22(13-14-25-15-17-28-18-16-25)24(23(26)27,20-9-5-3-6-10-20)21-11-7-4-8-12-21/h3-12,22H,2,13-19H2,1H3/p+2",1,doxapram hydrochloride,Arrhythmia,wp
33,kyprolis,carfilzomib,carfilzomib,most,CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)C[NH+]1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1,"InChI=1S/C40H57N5O7/c1-27(2)22-32(36(47)40(5)26-52-40)42-39(50)34(24-30-14-10-7-11-15-30)44-38(49)33(23-28(3)4)43-37(48)31(17-16-29-12-8-6-9-13-29)41-35(46)25-45-18-20-51-21-19-45/h6-15,27-28,31-34H,16-26H2,1-5H3,(H,41,46)(H,42,50)(H,43,48)(H,44,49)/p+1",1,carfilzomib,Mixed,wp
34,velcade,bortezomib,bortezomib,most,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,"InChI=1S/C19H25BN4O4/c1-13(2)10-17(20(27)28)24-18(25)15(11-14-6-4-3-5-7-14)23-19(26)16-12-21-8-9-22-16/h3-9,12-13,15,17,27-28H,10-11H2,1-2H3,(H,23,26)(H,24,25)",1,bortezomib,Mixed,wp
35,pregabalin,pregabalin,pregabalin,most,CC(C)CC(C[NH3+])CC(=O)[O-],"InChI=1S/C8H17NO2/c1-6(2)3-7(5-9)4-8(10)11/h6-7H,3-5,9H2,1-2H3,(H,10,11)",1,pregabalin,Arrhythmia,wp
36,sunitinib malate,sunitinib malate,sunitinib malate,most,CC[NH+](CC)CC=NC(=O)c1c(C)[nH]c(Cc2c([O-])[n-]c3ccc(F)cc23)c1C,"InChI=1S/C22H26FN4O2/c1-5-27(6-2)10-9-24-22(29)20-13(3)19(25-14(20)4)12-17-16-11-15(23)7-8-18(16)26-21(17)28/h7-9,11,28H,5-6,10,12H2,1-4H3,(H,25,29)/q-1",1,sunitinib malate,Mixed,wp
37,ritonavir,ritonavir,ritonavir,most,CC(C)c1nc(C[NH+](C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,"InChI=1S/C37H48N6O5S2/c1-24(2)33(42-36(46)43(5)20-29-22-49-35(40-29)25(3)4)34(45)39-28(16-26-12-8-6-9-13-26)18-32(44)31(17-27-14-10-7-11-15-27)41-37(47)48-21-30-19-38-23-50-30/h6-15,19,22-25,28,31-33,44H,16-18,20-21H2,1-5H3,(H,39,45)(H,41,47)(H,42,46)/p+1",1,ritonavir,Mixed,wp
38,,probucol,probucol,most,CC(C)(Sc1cc(C(C)(C)C)c([O-])c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c([O-])c(C(C)(C)C)c1,"InChI=1S/C31H48O2S2/c1-27(2,3)21-15-19(16-22(25(21)32)28(4,5)6)34-31(13,14)35-20-17-23(29(7,8)9)26(33)24(18-20)30(10,11)12/h15-18,32-33H,1-14H3/p-2",1,probucol,Arrhythmia,Withdraw
39,hydrocodone bitartrate,hydrocodone bitartrate,hydrocodone bitartrate,most,COc1ccc2c3c1OC1C(=O)CCC4C(C2)[NH+](C)CCC314,"InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3,6,11-12,17H,4-5,7-9H2,1-2H3/p+1",1,hydrocodone bitartrate,Mixed,wp
40,,phentermine,phentermine,most,CC(C)([NH3+])Cc1ccccc1,"InChI=1S/C10H15N/c1-10(2,11)8-9-6-4-3-5-7-9/h3-7H,8,11H2,1-2H3/p+1",1,phentermine,Heart Damage,Withdraw
41,mitoxantrone,mitoxantrone,mitoxantrone hydrochloride,most,[O-]c1ccc([O-])c2c([O-])c3c(NCC[NH2+]CCO)ccc(NCC=NCCO)c3c([O-])c12,"InChI=1S/C22H28N4O6/c27-11-9-23-5-7-25-13-1-2-14(26-8-6-24-10-12-28)18-17(13)21(31)19-15(29)3-4-16(30)20(19)22(18)32/h1-5,24-32H,6-12H2/p-3",1,mitoxantrone,Heart Damage,bw
42,,chlorphentermine,chlorphentermine,most,CC(C)([NH3+])Cc1ccc(Cl)cc1,"InChI=1S/C10H14ClN/c1-10(2,12)7-8-3-5-9(11)6-4-8/h3-6H,7,12H2,1-2H3/p+1",1,chlorphentermine,Heart Damage,Withdraw
43,macrilen,macimorelin acetate,macimorelin,most,CC(C)([NH3+])C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1c[nH]c2ccccc12)NC=O,"InChI=1S/C26H30N6O3/c1-26(2,27)25(35)31-22(11-16-13-28-20-9-5-3-7-18(16)20)24(34)32-23(30-15-33)12-17-14-29-21-10-6-4-8-19(17)21/h3-10,13-15,22-23,28-29H,11-12,27H2,1-2H3,(H,30,33)(H,31,35)(H,32,34)/p+1",1,macimorelin acetate,Arrhythmia,wp
44,hydroxyzine hydrochloride,hydroxyzine hydrochloride,hydroxyzine dihydrochloride,most,OCCOCC[NH+]1CC[NH+](C(c2ccccc2)c2ccc(Cl)cc2)CC1,"InChI=1S/C21H27ClN2O2/c22-20-8-6-19(7-9-20)21(18-4-2-1-3-5-18)24-12-10-23(11-13-24)14-16-26-17-15-25/h1-9,21,25H,10-17H2/p+2",1,hydroxyzine hydrochloride,Arrhythmia,wp
45,albuterol,albuterol,albuterol,most,CC(C)(C)[NH2+]CC(O)c1ccc([O-])c(CO)c1,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",1,albuterol,Mixed,wp
46,oxaliplatin,oxaliplatin,oxaliplatin,most,[NH3+]C1CCCCC1[NH3+],"InChI=1S/C6H14N2/c7-5-3-1-2-4-6(5)8/h5-6H,1-4,7-8H2/p+2",1,oxaliplatin,Arrhythmia,wp
47,asenapine,asenapine maleate,asenapine maleate,most,C[NH+]1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,"InChI=1S/C17H16ClNO/c1-19-9-14-12-4-2-3-5-16(12)20-17-7-6-11(18)8-13(17)15(14)10-19/h2-8,14-15H,9-10H2,1H3/p+1",1,asenapine maleate,Mixed,wp
48,carbamazepine,carbamazepine,carbamazepine,most,NC(=O)N1c2ccccc2C=Cc2ccccc21,"InChI=1S/C15H12N2O/c16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h1-10H,(H2,16,18)",1,carbamazepine,Arrhythmia,wp
49,thioridazine hydrochloride,thioridazine hydrochloride,thioridazine hydrochloride,most,CSc1ccc2c(c1)N(CCC1CCCC[NH+]1C)c1ccccc1S2,"InChI=1S/C21H26N2S2/c1-22-13-6-5-7-16(22)12-14-23-18-8-3-4-9-20(18)25-21-11-10-17(24-2)15-19(21)23/h3-4,8-11,15-16H,5-7,12-14H2,1-2H3/p+1",1,thioridazine hydrochloride,Arrhythmia,bw
50,onglyza,saxagliptin,saxagliptin hydrochloride,most,N#CC1CC2CC2[NH+]1C(=O)C([NH3+])C12CC3CC(CC(O)(C3)C1)C2,"InChI=1S/C18H25N3O2/c19-8-13-2-12-3-14(12)21(13)16(22)15(20)17-4-10-1-11(5-17)7-18(23,6-10)9-17/h10-15,23H,1-7,9,20H2/p+2",1,saxagliptin,Heart Damage,wp
51,halaven,eribulin mesylate,eribulin mesylate,most,C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)CC8C(CC9OC(CCC1O2)CC(C)C9=C)OC(CC(O)C[NH3+])C8OC)OC7C6O3)C5O4,"InChI=1S/C40H59NO11/c1-19-11-24-5-7-28-20(2)12-26(45-28)9-10-40-17-33-36(51-40)37-38(50-33)39(52-40)35-29(49-37)8-6-25(47-35)13-22(42)14-27-31(16-30(46-24)21(19)3)48-32(34(27)44-4)15-23(43)18-41/h19,23-39,43H,2-3,5-18,41H2,1,4H3/p+1",1,eribulin mesylate,Arrhythmia,wp
52,diflunisal,diflunisal,diflunisal,most,O=C([O-])c1cc(-c2ccc(F)cc2F)ccc1[O-],"InChI=1S/C13H8F2O3/c14-8-2-3-9(11(15)6-8)7-1-4-12(16)10(5-7)13(17)18/h1-6,16H,(H,17,18)/p-2",1,diflunisal,Heart Damage,bw
53,xalkori,crizotinib,crizotinib,most,CC(Oc1cc(-c2cnn(C3CC[NH2+]CC3)c2)c[n-]c1=N)c1c(Cl)ccc(F)c1Cl,"InChI=1S/C21H21Cl2FN5O/c1-12(19-16(22)2-3-17(24)20(19)23)30-18-8-13(9-27-21(18)25)14-10-28-29(11-14)15-4-6-26-7-5-15/h2-3,8-12,15,26H,4-7H2,1H3,(H-,25,27)/q-1/p+1",1,crizotinib,Arrhythmia,wp
54,braftovi,encorafenib,encorafenib,most,COC(=O)NC(C)CN=c1nc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)cc[n-]1,"InChI=1S/C22H27ClFN7O4S/c1-12(2)31-11-16(17-6-7-25-21(28-17)26-10-13(3)27-22(32)35-4)20(29-31)15-8-14(23)9-18(19(15)24)30-36(5,33)34/h6-9,11-13,30H,10H2,1-5H3,(H2,25,26,27,28,32)/p-1",1,encorafenib,Arrhythmia,wp
55,voriconazole,voriconazole,voriconazole,most,CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,"InChI=1S/C16H14F3N5O/c1-10(15-14(19)5-20-7-22-15)16(25,6-24-9-21-8-23-24)12-3-2-11(17)4-13(12)18/h2-5,7-10,25H,6H2,1H3",1,voriconazole,Arrhythmia,wp
56,dopamine hydrochloride,dopamine hydrochloride,dopamine hydrochloride,most,[NH3+]CCc1ccc([O-])c([O-])c1,"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2/p-1",1,dopamine hydrochloride,Mixed,wp
57,hydralazine hydrochloride,hydralazine hydrochloride,hydralazine hydrochloride,most,NN=c1[n-]ncc2ccccc12,"InChI=1S/C8H7N4/c9-11-8-7-4-2-1-3-6(7)5-10-12-8/h1-5H,9H2/q-1",1,hydralazine hydrochloride,Heart Damage,wp
58,lmd in dextrose; lmd in sodium chloride,dextran 40,dextran 40,most,O=C(C(O)CO)C(O)C(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,"InChI=1S/C18H32O16/c19-1-5(21)9(23)10(24)6(22)3-31-17-16(30)14(28)12(26)8(34-17)4-32-18-15(29)13(27)11(25)7(2-20)33-18/h5-8,10-22,24-30H,1-4H2",1,dextran 40,Arrhythmia,wp
59,agrylin,anagrelide hydrochloride,anagrelide hydrochloride anhydrous,most,[O-]c1cn2c(n1)Nc1ccc(Cl)c(Cl)c1C2,"InChI=1S/C10H7Cl2N3O/c11-6-1-2-7-5(9(6)12)3-15-4-8(16)14-10(15)13-7/h1-2,4,16H,3H2,(H,13,14)/p-1",1,anagrelide hydrochloride,Mixed,wp
60,rizatriptan benzoate,rizatriptan benzoate,rizatriptan benzoate,most,C[NH+](C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,"InChI=1S/C15H19N5/c1-19(2)6-5-13-8-17-15-4-3-12(7-14(13)15)9-20-11-16-10-18-20/h3-4,7-8,10-11,17H,5-6,9H2,1-2H3/p+1",1,rizatriptan benzoate,Mixed,wp
61,eletriptan hydrobromide,eletriptan hydrobromide,eletriptan hydrobromide,most,C[NH+]1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,"InChI=1S/C22H26N2O2S/c1-24-12-5-6-19(24)15-18-16-23-22-10-9-17(14-21(18)22)11-13-27(25,26)20-7-3-2-4-8-20/h2-4,7-10,14,16,19,23H,5-6,11-13,15H2,1H3/p+1",1,eletriptan hydrobromide,Mixed,wp
62,citalopram,citalopram,citalopram hydrobromide,most,C[NH+](C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,"InChI=1S/C20H21FN2O/c1-23(2)11-3-10-20(17-5-7-18(21)8-6-17)19-9-4-15(13-22)12-16(19)14-24-20/h4-9,12H,3,10-11,14H2,1-2H3/p+1",1,citalopram,Arrhythmia,wp
63,razadyne,galantamine hydrobromide,galantamine hydrobromide,most,COc1ccc2c3c1OC1CC(O)C=C(CC[NH+](C)C2)C31,"InChI=1S/C17H21NO3/c1-18-6-5-10-7-12(19)8-14-15(10)16-11(9-18)3-4-13(20-2)17(16)21-14/h3-4,7,12,14-15,19H,5-6,8-9H2,1-2H3/p+1",1,galantamine hydrobromide,Arrhythmia,wp
64,cyclophosphamide,cyclophosphamide,cyclophosphamide anhydrous,most,O=P1([NH+](CCCl)CCCl)[NH2+]CCCO1,"InChI=1S/C7H15Cl2N2O2P/c8-2-5-11(6-3-9)14(12)10-4-1-7-13-14/h1-7H2,(H,10,12)/p+2",1,cyclophosphamide,Mixed,wp
65,abacavir,abacavir,abacavir sulfate,most,N=c1[n-]c(=NC2CC2)c2ncn(C3C=CC(CO)C3)c2[n-]1,"InChI=1S/C14H16N6O/c15-14-18-12(17-9-2-3-9)11-13(19-14)20(7-16-11)10-4-1-8(5-10)6-21/h1,4,7-10,21H,2-3,5-6H2,(H-2,15,17,18,19)/q-2",1,abacavir,Heart Damage,wp
66,nitroglycerin,nitroglycerin,nitroglycerin,most,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],"InChI=1S/C3H5N3O9/c7-4(8)13-1-3(15-6(11)12)2-14-5(9)10/h3H,1-2H2",1,nitroglycerin,Heart Damage,wp
